source_id,l,b,ra,dec,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,parallax,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,dist_pc,mu_l,mu_b,x,y,z
6.98348E+16,165.5384104,-23.06690261,56.30933039,25.08863737,19.02902682,0.055812628,-41.3461534,0.041625881,0.488958689,11.10314397,6.704077931,0.031809743,13.727313,14.589947,12.818868,149.1629438,-0.170373127,3.081744693,-132.8886376,34.27253383,-58.44302547
7.1377E+16,162.4704376,-22.20934642,54.53880045,27.58579767,19.0038657,0.15504138,-43.45440336,0.113519209,1.718576508,0.915504061,6.713325157,0.106316232,13.343994,14.181078,12.449644,148.9574803,-0.333338089,4.071349354,-131.5019227,41.53723129,-56.30482823
6.94702E+16,163.152073,-23.71670697,53.99969287,26.02550826,20.36805372,0.351172055,-42.06187367,0.21165586,,,6.71358025,0.15870667,17.352795,19.423254,15.997465,148.9518204,-0.070344049,3.613051893,-130.5185832,39.5252735,-59.91074208
6.84758E+16,164.0435877,-25.01047878,53.77120495,24.51201895,19.20680961,0.061838033,-41.0842202,0.041467374,,,6.715646731,0.034680766,14.460911,15.536059,13.436433,148.9059863,-0.133970998,2.99616954,-129.7438162,37.09687961,-62.95519382
6.86168E+16,164.1485713,-24.03888996,54.54287218,25.1923335,19.52103108,0.340112919,-42.96287791,0.23657373,,,6.719652311,0.187078623,17.911604,19.909506,16.570997,148.8172235,-0.233502447,3.904804313,-130.7418398,37.12322461,-60.62180736
6.52801E+16,166.2269615,-23.4931713,56.51447802,24.34902791,18.40141763,0.207644746,-41.91263967,0.129591775,,,6.721193674,0.107895771,16.586702,17.867968,15.310937,148.7830955,-0.277885932,3.242429813,-132.5265685,32.48575365,-59.31099336
6.68803E+16,166.5171259,-22.20877752,57.68483857,25.11794601,17.79611837,0.612039395,-45.36687558,0.285191347,,,6.722538788,0.262437866,17.504845,19.686474,16.10008,148.7533254,-0.656946746,4.944514889,-133.9220645,32.10972758,-56.22630927
7.00244E+16,165.2219764,-22.297823,56.63472426,25.85703059,20.85387513,0.579761414,-46.9337279,0.292848131,,,6.725252208,0.293380166,17.422443,18.774193,15.535718,148.6933083,-0.399087595,6.452779249,-133.0237402,35.0920307,-56.41749602
7.00445E+16,165.0503396,-22.24460292,56.54213157,26.00237865,19.34313805,0.296990867,-44.99557195,0.2169615,,,6.729610411,0.197443096,17.361832,19.245209,16.051788,148.5970121,-0.425893368,4.966711239,-132.8824818,35.4808727,-56.25322857
6.48048E+16,167.4632764,-24.45018075,56.72201501,22.88075415,19.05364941,0.093401117,-41.51684778,0.057525639,6.568174079,0.858023954,6.732059171,0.048580836,11.551752,12.021861,10.952161,148.5429606,-0.17959815,3.159285408,-131.9976589,29.35217504,-61.48234717
6.47574E+16,167.4857986,-25.28195323,56.12937342,22.25403896,18.89749947,0.212638176,-42.68468489,0.113584345,,,6.734749374,0.109501658,15.512335,16.963661,14.32918,148.4836249,-0.283378868,3.672398193,-131.0715842,29.09218359,-63.41349654
7.0241E+16,164.7789873,-22.02465835,56.49510057,26.33369809,20.42148494,0.399825746,-43.86309488,0.320113959,,,6.736167536,0.326329361,17.56917,19.687035,16.16912,148.4523647,-0.193743865,4.52307419,-132.7909572,36.13102541,-55.67059633
6.6752E+16,166.7160753,-22.83665973,57.3652515,24.53153525,20.64033092,0.136584139,-44.06265749,0.079873061,,,6.73730057,0.078342894,14.910411,16.25748,13.760797,148.427399,-0.181416312,4.671135148,-133.1326983,31.4320188,-57.60560412
1.17874E+17,161.0761558,-23.78839751,52.29698345,27.16452548,19.71464445,0.416629875,-44.53250175,0.34018341,,,6.741182479,0.246301407,16.679693,18.602558,15.344632,148.3419271,-0.337729231,4.765782153,-128.4022527,44.02186048,-59.83531268
6.99303E+16,165.0304845,-22.8815959,56.05814194,25.53748268,17.20629498,0.339255074,-40.38339374,0.229608277,,,6.744073801,0.205123098,15.995258,17.514004,14.479372,148.2783299,-0.283134906,2.457965613,-131.9741596,35.28734439,-57.65490133
6.99082E+16,164.8892908,-23.13013266,55.76824795,25.43656923,20.02493646,0.229161158,-41.72479639,0.181350848,,,6.747040371,0.131884201,17.134586,19.045368,15.801526,148.2131342,-0.087279467,3.401625142,-131.5862312,35.53130122,-58.22133224
6.99161E+16,165.1701007,-22.92274377,56.13477591,25.42151793,23.10538319,0.789163106,-46.34092064,0.570207199,,,6.747208255,0.419850621,19.392122,21.041622,17.877151,148.2094464,-0.010742328,6.560673878,-131.9583632,34.93880487,-57.72616641
6.47436E+16,167.618229,-25.36340973,56.16535523,22.11313301,18.81651506,0.119284337,-42.75510006,0.067550628,19.0996046,8.226946425,6.756118758,0.056201004,10.883878,11.317351,10.311481,148.0139761,-0.298061587,3.694406675,-130.6357786,28.67879595,-63.40313182
1.17141E+17,161.4644712,-25.87312331,51.17604178,25.30456988,19.89973901,0.055500838,-42.2121798,0.037447383,,,6.759441935,0.027117524,13.676045,14.536508,12.770829,147.9412072,-0.134627025,3.604636857,-126.2068832,42.31551348,-64.55866134
6.69429E+16,165.9776828,-22.49493668,57.06457353,25.24331892,19.19178117,0.248488424,-42.44367424,0.149166466,,,6.775318437,0.142922249,17.076488,18.786213,15.787501,147.5945388,-0.231738263,3.601615307,-132.3009891,33.04130154,-56.47006776
6.7035E+16,167.6368237,-21.02438652,59.41952471,25.26770063,17.25060795,0.200933476,-41.78669702,0.091581422,,,6.776187818,0.106831107,15.488693,16.878542,14.320971,147.5756025,-0.387442385,3.040604356,-134.5566365,29.49375928,-52.9451432
6.47458E+16,167.6184714,-25.25681355,56.24330211,22.19156093,19.32935752,0.607325357,-44.90496666,0.307308018,,,6.786821212,0.333573009,18.160158,20.15271,16.78956,147.3443854,-0.419428616,4.912180415,-130.1593935,28.57363631,-62.86849351
5.16817E+16,170.4231113,-24.22995014,58.98984925,21.17731313,18.63328723,0.211590785,-40.56724961,0.13474457,,,6.790442791,0.102300892,15.600911,17.135088,14.377622,147.2658015,-0.158556368,2.703982138,-132.4208193,22.34258226,-60.43800057
6.99547E+16,165.638107,-22.37359015,56.89678607,25.54376472,19.03514587,0.095769233,-42.75031142,0.053415243,,,6.792325773,0.051353504,14.000706,14.987778,13.019237,147.2249762,-0.272964891,3.724764191,-131.8873424,33.76964854,-56.04046179
5.70368E+16,169.6654706,-27.49322343,56.04968975,19.30517909,18.97187241,0.07088341,-41.54034102,0.056131629,,,6.792441276,0.038557968,14.326666,15.386914,13.312555,147.2224726,-0.189960516,3.157680019,-128.4772095,23.42848625,-67.96446961
6.92184E+16,162.0843009,-25.08825174,52.20035692,25.57566958,19.2580436,0.535209637,-42.95443334,0.356891815,,,6.794950688,0.26818721,16.167494,17.876547,14.890098,147.1681026,-0.263405274,3.858960304,-126.8206166,41.00055617,-62.40141042
6.69504E+16,166.0385018,-22.19385989,57.3346644,25.42830778,18.76808403,0.248025943,-43.69474584,0.129149024,,,6.797468042,0.120608267,16.235586,17.84892,14.996711,147.1136008,-0.381384019,4.159762764,-132.1899808,32.86454527,-55.5710553
6.49244E+16,167.7757802,-23.72480124,57.48548896,23.21843739,19.08674577,0.094142941,-43.21979873,0.058872773,6.973385741,1.081164656,6.798870978,0.049904063,10.134455,10.460739,9.674894,147.0832441,-0.304408949,3.964809207,-131.5998578,28.5113504,-59.17821421
6.4873E+16,166.9462659,-24.56150753,56.26328629,23.11611776,20.2797685,1.172121046,-45.821265,0.756200808,,,6.799615343,0.598025171,19.429014,21.138792,17.8987,147.0671427,-0.377243303,5.626169488,-130.3032141,30.21183515,-61.13151294
6.65674E+16,166.965494,-22.59785734,57.72916283,24.55085115,16.87955605,0.232082271,-42.76353243,0.150868596,,,6.80186747,0.138305262,16.982763,18.690462,15.699063,147.0184481,-0.510755751,3.444011637,-132.2337529,30.61267707,-56.49356326
6.68245E+16,166.3446663,-22.7337628,57.16384578,24.83870585,18.6209178,0.320442749,-44.92415301,0.234550974,,,6.803740951,0.189530406,17.622215,19.46233,16.285774,146.9779651,-0.510362319,4.809763052,-131.7274261,32.00313008,-56.79971032
6.67972E+16,166.1597897,-23.01232816,56.81861061,24.74713358,21.67978963,0.453208192,-46.80273107,0.278832438,,,6.805153905,0.2145228,16.825598,18.750374,15.448907,146.9474481,-0.265597692,6.538394782,-131.3265125,32.35484728,-57.44617888
7.04629E+16,164.9748231,-21.43989038,57.08124562,26.64967923,20.03067425,0.829269286,-44.68386005,0.427121508,,,6.805533853,0.426085271,18.768145,20.819023,17.335457,146.9392441,-0.310322087,4.906377714,-132.0952377,35.45724848,-53.71008429
6.56628E+16,168.0971744,-23.35207904,57.99702388,23.28813679,15.09333949,1.490123829,-44.47366901,0.864537301,,,6.812358285,0.872562725,19.925762,21.31925,18.32694,146.7920444,-0.883988086,4.123950253,-131.8700196,27.79638045,-58.18559509
6.96438E+16,162.1427338,-24.16212886,52.89021122,26.26528408,20.62506749,0.100792975,-42.05876675,0.064790054,3.578754493,1.167696262,6.812579512,0.056552753,10.573719,10.94292,10.064533,146.7872776,-0.04007027,3.656217582,-127.4750865,41.0685926,-60.0830915
6.4796E+16,167.4544578,-24.6892673,56.54004306,22.71021466,18.47785637,0.162273991,-43.11366841,0.108501597,,,6.813013574,0.095010632,15.859627,17.580276,14.594416,146.7779257,-0.36561935,3.821008952,-130.1761649,28.96815995,-61.30881887
6.34854E+16,168.6676261,-25.87105153,56.54126709,21.09779201,18.90353985,0.168133572,-41.79528901,0.119317988,,,6.815761229,0.090321857,16.066511,17.669914,14.834763,146.7187547,-0.215505703,3.260476368,-129.4404701,25.94104837,-64.02046308
6.67659E+16,166.5188021,-22.87923525,57.18629669,24.62303568,19.88516529,0.605716878,-45.05754292,0.461596514,,,6.817813565,0.342441623,18.554155,20.02229,17.11244,146.6745886,-0.361542987,5.095819004,-131.4116114,31.5037485,-57.02575893
6.51696E+16,166.5729466,-24.25399955,56.21365771,23.57224684,21.29057029,0.829244054,-46.19730098,0.481270099,,,6.818198936,0.38425326,18.924982,20.66412,17.454645,146.6662984,-0.269286769,6.061353428,-130.0653784,31.05107217,-60.24808183
6.49717E+16,166.9344736,-24.28354575,56.45815735,23.32897336,19.54626361,0.678371358,-46.05885655,0.33315183,,,6.819050208,0.288274021,18.17116,20.286873,16.761194,146.647989,-0.498877248,5.640921739,-130.2121754,30.21896737,-60.30950226
6.65231E+16,166.9192814,-23.34222202,57.14081243,24.03285591,19.25777129,0.294236345,-44.24001423,0.153691553,,,6.821292275,0.135428455,16.845224,18.434532,15.576567,146.5997878,-0.369481909,4.527703246,-131.1085625,30.46363005,-58.08622774
6.95733E+16,162.6319063,-24.25055146,53.21411776,25.91563288,20.10573454,0.242523219,-43.09475816,0.189873089,,,6.825256009,0.13765534,17.216558,19.102133,15.912061,146.5146507,-0.174169002,4.067869023,-127.4951804,39.87684096,-60.17773175
1.17517E+17,160.4788005,-25.60748868,50.57361819,26.05563809,21.11935364,0.150847184,-42.33922659,0.130405955,,,6.830127111,0.097476966,16.04184,17.58262,14.823604,146.4101596,0.001025139,3.878050004,-124.439739,44.11848633,-63.27910672
6.9486E+16,162.8651707,-23.84286979,53.68502433,26.09580126,20.00517224,0.103817579,-42.26290421,0.064929954,5.067254025,1.399830054,6.830571778,0.051015784,12.849354,13.525347,12.076657,146.4006283,-0.126047158,3.645806007,-127.9627564,39.451877,-59.17961089
5.3416E+16,170.1295883,-22.58498137,60.03406675,22.53350615,17.55990717,0.89686964,-44.16484657,0.40274528,,,6.834011823,0.357146567,18.885345,21.004372,17.420893,146.3269344,-0.565953821,4.237011168,-133.1053291,23.15998378,-56.19749339
6.88978E+16,162.9870484,-25.79992685,52.40997253,24.51033966,21.17736744,0.081750026,-41.58872986,0.059806245,-0.100196279,10.37961962,6.836271979,0.042000036,11.917906,12.449934,11.253635,146.278557,0.054514222,3.540342519,-125.9340347,38.53326321,-63.66492565
6.82677E+16,165.7120917,-24.11492579,55.67468481,24.19928217,20.29576224,0.069773023,-41.07490325,0.050537381,,,6.83643889,0.040360195,13.883172,14.77329,12.843885,146.2749856,-0.015920475,3.161736228,-129.3794027,32.94954261,-59.76344364
7.07944E+16,164.8692091,-20.47012758,57.72677427,27.43683299,17.89678521,0.560482162,-45.04270948,0.303563578,,,6.844805912,0.295504816,18.152533,20.218618,16.772116,146.0961805,-0.611627332,4.770516682,-132.1258141,35.72667738,-51.09273642
6.67227E+16,166.7443329,-23.04432603,57.23194572,24.3610199,18.32250451,0.507198658,-45.29644739,0.3032704,,,6.848440026,0.25333691,18.5933,20.392572,17.173819,146.0186548,-0.583821792,4.980080976,-130.786609,30.81002909,-57.15813648
6.87488E+16,163.2333698,-26.01780919,52.44804663,24.20153552,20.01591397,0.375274288,-43.06787311,0.236838798,,,6.85243002,0.179159194,17.678942,19.69907,16.328846,145.9336319,-0.182943037,4.039006907,-125.5690156,37.83196991,-64.0139773
7.01763E+16,164.0441372,-23.2223437,55.04973296,25.87551119,19.77372414,0.325911204,-43.28650861,0.242833234,,,6.853574127,0.186733284,17.988625,19.944767,16.640442,145.9092703,-0.22860349,4.108901742,-128.9219251,36.86053426,-57.53219463
6.50969E+16,165.9996933,-25.27088573,55.05317012,23.15978243,19.33900184,0.236917704,-41.87154505,0.149772032,,,6.85758801,0.097417693,15.897217,17.444191,14.674548,145.8238667,-0.173616568,3.359388474,-127.9511231,31.90275107,-62.2521058
6.83003E+16,165.6487869,-23.69919975,55.92983106,24.54880405,19.00987907,0.278912056,-42.32605653,0.195237007,,,6.860148147,0.144366513,17.256842,18.983507,15.945685,145.7694468,-0.2431896,3.518824516,-129.3111496,33.08434059,-58.58997016
1.1961E+17,161.1626611,-21.56700554,53.93600225,28.85191648,20.11064429,0.224255264,-42.2189742,0.196231085,,,6.863311932,0.186512947,16.892115,18.75426,15.577366,145.7022513,-0.110821552,3.642754019,-128.2436978,43.75121943,-53.55866695
6.96497E+16,161.9847973,-24.34156778,52.63976654,26.2155574,20.99220383,0.073114163,-42.19730786,0.059370311,4.463299949,2.897418825,6.866292202,0.038643956,12.826823,13.512137,12.043811,145.6390102,-0.005277724,3.787076427,-126.1869283,41.03786935,-60.02894051
6.4834E+16,166.8568478,-25.17689964,55.7497641,22.71416635,16.62639979,1.252836985,-43.78772439,0.76981772,,,6.866815702,0.545191918,18.552193,20.79857,16.996798,145.6279072,-0.636188705,3.922709661,-128.3406277,29.96793461,-61.95234892
6.75763E+16,165.1334449,-27.07400842,53.13742712,22.30326407,20.27694932,0.236234688,-43.58659749,0.184593481,,,6.871916364,0.140962868,17.102398,18.933197,15.796514,145.5198153,-0.190459118,4.35056219,-125.2361953,33.24474126,-66.23216149
5.18387E+16,173.7305577,-22.6712707,62.44007478,20.0777085,15.97003845,0.230888351,-42.27943014,0.177936256,,,6.878571366,0.143740502,16.48008,18.339983,15.162064,145.3790252,-0.561145001,3.121963082,-133.3434324,14.64947566,-56.03555017
6.59377E+16,169.3416315,-21.62164007,60.21057703,23.73126647,17.47396568,0.753165426,-44.16211896,0.352230896,,,6.885736982,0.424729446,18.614204,21.036713,17.107271,145.2277371,-0.575735402,4.224208913,-132.6797863,24.97047788,-53.51303733
6.85805E+16,164.6212848,-23.72673655,55.12992767,25.14790182,19.95896714,0.226391288,-45.72606124,0.131942923,,,6.887020051,0.126183465,15.739687,17.482159,14.447015,145.2006808,-0.411997472,5.508610598,-128.1678667,35.25231423,-58.42525121
6.68782E+16,166.5224744,-22.29424097,57.6249253,25.0517334,18.28310065,0.188549426,-44.21949264,0.092089281,,,6.893589886,0.098281722,15.424112,16.81449,14.258721,145.0622994,-0.485666822,4.36689007,-130.5222898,31.28169923,-55.0314262
4.50222E+16,169.810865,-27.53691664,56.11710072,19.18481985,18.87978442,0.075956509,-41.231841,0.056738931,3.243060299,3.63669855,6.895279931,0.043384835,11.556369,12.090134,10.8882885,145.0267444,-0.178166653,3.011540615,-126.5689249,22.7487902,-67.04891029
6.65231E+16,166.9133826,-23.34726342,57.13271111,24.03280936,18.41760668,0.228486097,-44.72409569,0.122236531,,,6.897553335,0.111302043,16.835129,18.46755,15.547499,144.9789442,-0.516561545,4.665335957,-129.6509677,30.13902076,-57.45572424
6.39575E+16,168.471107,-24.6892569,57.27164031,22.08115817,17.64007247,0.718110822,-43.60595931,0.645917937,,,6.897761306,0.396936595,18.984789,20.893719,17.522434,144.974573,-0.504054858,3.954433081,-129.0642203,26.32641504,-60.55554257
6.99855E+16,165.7787699,-21.91888967,57.34232919,25.7936958,19.34285969,0.211065432,-43.26180469,0.151760251,,,6.900333386,0.138080159,16.560986,18.275064,15.287978,144.9205341,-0.277811974,4.026178655,-130.3244556,33.02875689,-54.09804716
6.55315E+16,169.0713131,-22.58958406,59.27594111,23.21676857,17.60649407,0.363721006,-42.35221567,0.194396424,,,6.900516453,0.188802324,17.741518,19.632944,16.367056,144.9166895,-0.397401549,3.338586807,-131.3720079,25.36669195,-55.66662698
5.30495E+16,171.0323788,-22.87991407,60.44095495,21.7345985,17.61390812,0.757841729,-46.42530787,0.407527547,,,6.901236371,0.427121087,19.105267,20.893557,17.606962,144.9015722,-0.792998125,5.564048765,-131.8690394,20.8098272,-56.33802593
5.17616E+16,170.1611262,-23.94940207,59.01897779,21.54497132,19.14391328,0.344419369,-48.55475058,0.231750549,,,6.909549418,0.186118071,15.10917,16.744617,13.85808,144.7272375,-0.818145664,7.262446427,-130.3213879,22.60169265,-58.74923514
6.56661E+16,168.2844006,-23.10441126,58.31857531,23.34934566,17.26168687,0.339716308,-41.79626412,0.164752087,,,6.91083772,0.161540015,17.340843,19.143093,16.041576,144.7002579,-0.387100603,3.046101979,-130.3212628,27.0254537,-56.78166896
6.51285E+16,166.2599313,-24.72180669,55.64181991,23.41427668,18.78323847,0.383186712,-45.40213908,0.25893649,,,6.915698246,0.228251541,18.190985,20.225492,16.794437,144.5985589,-0.535654999,5.113696479,-127.5871635,31.19716327,-60.47310096
6.78787E+16,164.3810772,-26.42495164,53.03286145,23.23243213,19.8471105,0.183247218,-42.80039593,0.128857717,,,6.916810702,0.112119799,16.1345,17.754688,14.89101,144.5753026,-0.18305599,3.877873802,-124.6888339,34.85837365,-64.33977462
6.46445E+16,166.6014386,-25.49495319,55.33339284,22.63145751,18.76804484,0.185434421,-43.31683956,0.116133876,,,6.91790408,0.095775756,15.737382,17.223047,14.538507,144.5524524,-0.349369559,3.965438466,-126.9249405,30.23464139,-62.22007258
6.99339E+16,164.9257971,-22.8740337,55.98342457,25.60689252,22.63469342,0.632239914,-46.80362537,0.454445964,,,6.919322653,0.433559203,19.072916,21.08109,17.578066,144.5228168,-0.120905871,6.75437677,-128.5756937,34.63050495,-56.17707444
6.40536E+16,168.5023244,-24.43870469,57.47955427,22.24396485,23.51926918,0.31830191,-43.71134987,0.224402931,,,6.922387325,0.182929938,6.024738,6.0420237,6.0213,144.4588338,0.23485616,5.087992747,-128.8766944,26.21503104,-59.76557903
6.40736E+16,168.7952707,-23.82856972,58.14369197,22.50196113,19.09235269,0.152587532,-42.40287857,0.081384565,,,6.925094027,0.060018096,14.979826,16.260906,13.860722,144.4023714,-0.239807458,3.567263725,-129.5753567,25.66793967,-58.33891223
6.39594E+16,168.5301465,-24.50280499,57.45189612,22.179977,18.32143081,0.180760637,-42.28425315,0.139919215,,,6.92791649,0.102216756,15.797808,17.269222,14.593846,144.3435413,-0.315328835,3.40094807,-128.7209859,26.11827338,-59.86486032
6.69816E+16,165.9139183,-21.9178834,57.44606546,25.71008258,17.4897974,0.349875755,-45.51969817,0.228972734,,,6.92868497,0.1925923,16.257185,18.13783,14.924778,144.3275317,-0.711147605,4.991964734,-129.8693245,32.58759554,-53.87433159
6.50426E+16,166.3804898,-25.10374718,55.4541049,23.05639233,19.44333802,0.513410957,-45.94070169,0.383413621,,,6.930944649,0.347984263,17.785429,19.623655,16.197147,144.280477,-0.501304671,5.549557762,-126.9779683,30.76519816,-61.21236953
5.69502E+16,168.6831428,-28.85484467,54.39777762,18.89626439,18.95090005,0.172694957,-42.05955388,0.12986822,,,6.931900645,0.087038718,16.304974,17.742126,15.129987,144.2605789,-0.229748857,3.386816538,-123.8931837,24.79443827,-69.61917472
1.1102E+17,160.7221581,-27.58079936,49.45477567,24.34783487,20.65550136,0.202490884,-43.74040119,0.150481086,,,6.932117388,0.111088522,14.461348,15.863419,13.286004,144.2560684,-0.154762,4.500248213,-120.6930829,42.21396646,-66.7905236
6.52011E+16,166.6823294,-23.93050266,56.53153647,23.74500681,19.04843111,0.52387638,-44.70961355,0.424986592,,,6.933580366,0.292894703,18.679129,18.895363,16.980606,144.2256305,-0.437108118,4.754967635,-128.2824938,30.36669133,-58.50212247
6.40219E+16,167.9502386,-24.72756723,56.87006566,22.37642991,18.60963087,0.14143175,-48.21526261,0.112606779,,,6.934395535,0.078036049,13.971644,14.988139,12.897557,144.2086762,-0.857599437,6.924417682,-128.0995936,27.34492928,-60.3232231
6.48892E+16,167.7677682,-24.17401501,57.1466877,22.89491452,19.78995022,0.829282904,-48.35527714,0.474427021,,,6.93866411,0.370167001,18.58027,19.999464,17.114351,144.1199609,-0.699813625,7.235422353,-128.4963479,27.85778366,-59.01860375
6.64514E+16,167.3743952,-23.47964514,57.37428122,23.64852185,19.59135252,0.415331686,-46.38719859,0.247041018,,,6.939547771,0.200659065,16.799902,18.595737,15.467354,144.1016091,-0.524693989,5.856278482,-128.9741494,28.88987531,-57.41356653
6.81921E+16,165.0425035,-25.21746413,54.37951667,23.76852359,20.23072513,0.324710234,-42.79995204,0.234813376,,,6.941373294,0.162297443,17.648577,19.546968,16.32685,144.0637116,-0.137600537,3.942503538,-125.917893,33.63972664,-61.37919845
7.18738E+16,162.1896402,-20.94036131,55.23361673,28.72740155,19.62262199,0.08545217,-42.66166385,0.05426771,,,6.943413464,0.057427269,14.377543,15.4303875,13.360668,144.0213816,-0.19892463,3.773567484,-128.0626146,41.14216653,-51.47278134
6.5487E+16,169.8328597,-21.95265958,60.3083799,23.17486212,17.40701399,0.184733408,-43.69388954,0.095612252,,,6.945961085,0.106905335,15.901066,17.46314,14.678238,143.9685578,-0.538755959,3.969414487,-131.4329256,23.57091044,-53.82140732
6.52493E+16,166.0718518,-23.9535607,56.0612575,24.1014422,17.56040285,0.094396157,-40.92463568,0.071046927,,,6.949594978,0.054137947,11.048224,11.35224,10.035219,143.8932777,-0.289143305,2.712617345,-127.6340067,31.65299379,-58.42023357
6.97542E+16,161.9664307,-23.98616354,52.87334642,26.50328867,19.97592319,0.281908076,-44.85597816,0.160260227,,,6.95079588,0.115914073,16.71239,18.433907,15.447229,143.868417,-0.332151244,4.995097249,-124.9871823,40.69199988,-58.48492803
6.42983E+16,166.9932064,-26.28331122,55.04997615,21.80872423,18.86280399,0.732588616,-41.62215305,0.474273067,,,6.952904614,0.351317078,18.893295,20.812445,17.449066,143.8247834,-0.207380787,3.177872223,-125.6468486,29.02377698,-63.68718971
6.82503E+16,164.9228761,-24.52008346,54.78812853,24.36762875,18.84242308,0.084882867,-40.76293064,0.053934955,5.421243644,2.322945263,6.955217069,0.04646753,9.703188,10.016299,9.258933,143.7769648,-0.150403775,2.811298991,-126.3075029,34.02650638,-59.66931532
6.65647E+16,166.9612167,-22.76812469,57.59880265,24.42865086,17.35759436,1.326756325,-44.92310872,1.037353047,,,6.955866592,0.999006114,19.966234,21.595358,18.409664,143.7635393,-0.665401859,4.628242988,-129.1434293,29.9074126,-55.63700703
6.49936E+16,167.0771169,-23.85953868,56.87476375,23.55402962,19.25739123,0.386974531,-45.85219254,0.29486599,,,6.956349216,0.229195196,18.33331,20.127525,16.901628,143.7535651,-0.517493612,5.463193002,-128.13842,29.40169765,-58.14785447
5.09051E+16,170.9233989,-26.00422723,58.00344644,19.59668373,17.21045014,0.073139094,-42.59368524,0.041707187,8.720872341,0.544586383,6.9596626,0.036678658,10.320268,10.676899,9.824011,143.6851264,-0.460252132,3.40261407,-127.5215508,20.37244717,-62.99708735
6.40376E+16,168.6894595,-24.41176669,57.63318908,22.14638394,17.99381928,0.158831314,-41.54432726,0.104484371,,,6.962980054,0.080792272,16.006176,17.579695,14.775672,143.6166688,-0.292386914,3.026118817,-128.2371873,25.64906692,-59.35567966
6.67464E+16,166.7828903,-22.96427904,57.32010393,24.39593958,19.97124334,0.1080973,-44.13100462,0.070939833,,,6.966707473,0.051957913,7.5111723,7.573527,7.4325624,143.5398291,-0.271729,4.588071689,-128.6630106,30.21838768,-56.0032256
6.67209E+16,166.7929857,-23.13063127,57.20405883,24.26718036,17.47863206,0.111424892,-47.32530892,0.056573141,2.14133956,2.690883467,6.966932356,0.047970513,10.699402,11.170911,10.095652,143.5351958,-0.913279891,6.131206197,-128.5053439,30.15746773,-56.38489314
7.04265E+16,165.5269907,-21.05892609,57.79406285,26.58749317,17.95273402,0.066282404,-44.04415381,0.04194069,4.466025161,3.183311148,6.967615803,0.037902147,13.470318,14.293006,12.590544,143.5211166,-0.508507932,4.225840651,-129.6850589,33.4738758,-51.57127143
6.83646E+16,165.2147263,-23.84133711,55.49866659,24.7049449,19.30254479,0.507032014,-41.08905419,0.346837015,,,6.969846529,0.294332891,18.484653,20.340467,17.098392,143.4751821,-0.124209157,3.012291239,-126.8868633,33.49028714,-57.99355534
6.49819E+16,166.9196986,-24.08413306,56.59367689,23.48543411,20.01536782,0.321046644,-44.94369811,0.186809986,,,6.972089797,0.153011067,17.260897,19.19459,15.899447,143.429019,-0.334625307,5.052759671,-127.5455471,29.63477298,-58.53030957
6.49505E+16,167.2861731,-24.40090604,56.62930508,23.02615841,17.96779117,0.466509152,-45.25910077,0.292324917,,,6.972142235,0.228445108,18.004625,19.856178,16.62865,143.4279403,-0.624550496,4.905956075,-127.4139125,28.74649328,-59.25291621
6.5047E+16,166.2520687,-25.10338881,55.35989921,23.13394534,20.18904075,0.26379338,-43.91763542,0.167832903,,,6.972267434,0.136913178,16.766098,18.578436,15.469937,143.4253648,-0.227237355,4.51077758,-126.1569089,30.86579232,-60.84876713
6.48415E+16,166.8063006,-25.10155499,55.7675695,22.80077546,25.33407857,0.250985579,-46.31895949,0.150895605,,,6.972701892,0.095576653,14.317856,15.518298,13.227055,143.4164282,0.353722131,7.131765268,-126.4435883,29.64262665,-60.8408213
1.63647E+17,166.257208,-19.31940429,59.68636238,27.39528292,19.11016886,0.102849065,-43.17618471,0.054355033,3.446374002,0.839140189,6.973074831,0.06343219,12.743081,13.446698,11.936839,143.4087579,-0.298160751,3.946480317,-131.4588445,32.15044785,-47.44462814
6.51559E+16,165.9977311,-24.38712896,55.6902714,23.82282901,20.85154146,0.358756932,-45.63088046,0.237222852,,,6.977750956,0.177949412,17.721367,19.656979,16.34646,143.3126528,-0.281951434,5.618809218,-126.6472555,31.58225328,-59.17389959
6.39586E+16,168.4179383,-24.60373065,57.29693591,22.17655716,22.34925231,0.478955982,-49.26508994,0.383798521,6.834430732,3.658360531,6.978231726,0.317851572,12.996481,13.822676,12.111611,143.3027792,-0.390466813,8.465587943,-127.6390839,26.15911334,-59.66281556
6.4064E+16,168.4629613,-24.16328411,57.65594935,22.46875378,20.20656829,0.285788324,-44.30174983,0.135627116,,,6.980075514,0.129184859,16.348825,17.989033,15.083681,143.2649257,-0.255938338,4.723412164,-128.0713611,26.14285594,-58.64398079
6.67883E+16,166.1247107,-23.28778642,56.58906199,24.56439053,18.98461983,0.309042375,-44.33155963,0.177471222,,,6.981437068,0.175634497,17.223673,18.87114,15.896881,143.2369855,-0.41102607,4.534192997,-127.7283194,31.55132354,-56.6288303
6.51736E+16,166.7223049,-24.06446391,56.46271554,23.62128453,19.78697449,0.323349574,-44.45147165,0.234669156,,,6.982027028,0.15779782,17.014898,18.11315,15.564533,143.2248824,-0.321660497,4.732895098,-127.2808304,30.03581587,-58.4021139
